id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean,volume_id
volume_44_slice_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_5,1.0,1.0,1.2499998437500196e-07,1.2499998437500196e-07,1.0,1.0,0.6666667083333282,0.6666667083333282,volume_44
volume_44_slice_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_27,1.0,1.0,2.499999375000156e-07,2.499999375000156e-07,1.0,1.0,0.6666667499999791,0.6666667499999791,volume_44
volume_44_slice_28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_47,1.0,1.0,2.7777777006172862e-08,2.7777777006172862e-08,1.0,1.0,0.6666666759259257,0.6666666759259257,volume_44
volume_44_slice_48,1.0,1.0,1.5873015621063245e-08,1.5873015621063245e-08,1.0,1.0,0.6666666719576719,0.6666666719576719,volume_44
volume_44_slice_49,1.0,1.0,1.5384615147929e-08,1.5384615147929e-08,1.0,1.0,0.6666666717948718,0.6666666717948718,volume_44
volume_44_slice_50,1.0,1.0,2.0408162848813002e-08,2.0408162848813002e-08,1.0,1.0,0.6666666734693877,0.6666666734693877,volume_44
volume_44_slice_51,1.0,1.0,5.555555246913597e-08,5.555555246913597e-08,1.0,1.0,0.666666685185184,0.666666685185184,volume_44
volume_44_slice_52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_53,1.0,1.0,3.3333332222222255e-08,3.3333332222222255e-08,1.0,1.0,0.6666666777777775,0.6666666777777775,volume_44
volume_44_slice_54,1.0,1.0,3.0303029384756685e-08,3.0303029384756685e-08,1.666666388888935e-07,1.666666388888935e-07,0.33333339898988945,0.33333339898988945,volume_44
volume_44_slice_55,1.0,1.0,1.0,1.0,9.99999000001e-07,9.99999000001e-07,0.6666669999996667,0.6666669999996667,volume_44
volume_44_slice_56,1.0,1.0,2.8571427755102065e-08,2.8571427755102065e-08,1.0,1.0,0.6666666761904759,0.6666666761904759,volume_44
volume_44_slice_57,1.0,1.0,3.999999840000006e-08,3.999999840000006e-08,1.0,1.0,0.6666666799999995,0.6666666799999995,volume_44
volume_44_slice_58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_60,1.0,1.0,1.0,1.0,9.99999000001e-07,9.99999000001e-07,0.6666669999996667,0.6666669999996667,volume_44
volume_44_slice_61,1.0,1.0,2.7777777006172862e-08,2.7777777006172862e-08,4.347825897920613e-08,4.347825897920613e-08,0.33333335708534534,0.33333335708534534,volume_44
volume_44_slice_62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_63,1.0,1.0,1.666666388888935e-07,1.666666388888935e-07,1.0,1.0,0.6666667222222129,0.6666667222222129,volume_44
volume_44_slice_64,1.0,1.0,1.724137901307967e-08,1.724137901307967e-08,1.0,1.0,0.666666672413793,0.666666672413793,volume_44
volume_44_slice_65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_70,1.0,1.0,3.0303029384756685e-08,3.0303029384756685e-08,1.0,1.0,0.6666666767676764,0.6666666767676764,volume_44
volume_44_slice_71,1.0,1.0,1.6393442354205864e-08,1.6393442354205864e-08,1.0,1.0,0.6666666721311474,0.6666666721311474,volume_44
volume_44_slice_72,1.0,1.0,1.3698629949333836e-08,1.3698629949333836e-08,1.0,1.0,0.6666666712328766,0.6666666712328766,volume_44
volume_44_slice_73,1.0,1.0,1.1764705743944639e-08,1.1764705743944639e-08,1.0,1.0,0.6666666705882353,0.6666666705882353,volume_44
volume_44_slice_74,1.0,1.0,8.333333263888889e-09,8.333333263888889e-09,1.0,1.0,0.6666666694444444,0.6666666694444444,volume_44
volume_44_slice_75,1.0,1.0,5.235602066829308e-09,5.235602066829308e-09,1.0,1.0,0.6666666684118674,0.6666666684118674,volume_44
volume_44_slice_76,1.0,1.0,0.13186813504810205,0.07058823893886966,1.0,1.0,0.7106227116827007,0.6901960796462898,volume_44
volume_44_slice_77,1.0,1.0,0.36982968523155796,0.2268656739496547,1.0,1.0,0.7899432284105193,0.7422885579832181,volume_44
volume_44_slice_78,1.0,1.0,0.2447058841301038,0.13941018997477161,1.0,1.0,0.7482352947100347,0.7131367299915906,volume_44
volume_44_slice_79,1.0,1.0,0.2643923256622765,0.1523341544168694,1.0,1.0,0.7547974418874256,0.7174447181389564,volume_44
volume_44_slice_80,1.0,1.0,0.34128440487837725,0.2057522141465659,1.0,1.0,0.780428134959459,0.7352507380488552,volume_44
volume_44_slice_81,1.0,1.0,0.3344709908968072,0.20081967376881213,1.0,1.0,0.7781569969656025,0.7336065579229375,volume_44
volume_44_slice_82,1.0,1.0,0.3475409846761623,0.21031746188429074,1.0,1.0,0.7825136615587208,0.7367724872947635,volume_44
volume_44_slice_83,1.0,1.0,0.30564784168497033,0.1803921584698193,1.0,1.0,0.7685492805616567,0.7267973861566065,volume_44
volume_44_slice_84,1.0,1.0,0.21724138065992865,0.12185686823625363,1.0,1.0,0.7390804602199763,0.707285622745418,volume_44
volume_44_slice_85,1.0,1.0,0.1176470604978234,0.06250000189012096,1.0,1.0,0.7058823534992745,0.6875000006300404,volume_44
volume_44_slice_86,1.0,1.0,2.2471910061860875e-09,2.2471910061860875e-09,1.0,1.0,0.6666666674157303,0.6666666674157303,volume_44
volume_44_slice_87,1.0,1.0,2.51256280775738e-09,2.51256280775738e-09,1.0,1.0,0.6666666675041876,0.6666666675041876,volume_44
volume_44_slice_88,1.0,1.0,0.46056782419468795,0.29918032930495836,1.0,1.0,0.8201892747315626,0.7663934431016527,volume_44
volume_44_slice_89,1.0,1.0,0.5989304818196116,0.427480917123128,1.0,1.0,0.8663101606065372,0.8091603057077092,volume_44
volume_44_slice_90,1.0,1.0,0.635404455292609,0.46563573974976674,1.0,1.0,0.8784681517642031,0.821878579916589,volume_44
volume_44_slice_91,1.0,1.0,0.7433808556584717,0.5915721238386189,1.0,1.0,0.9144602852194906,0.8638573746128729,volume_44
volume_44_slice_92,1.0,1.0,0.7551020410662224,0.6065573776941683,1.0,1.0,0.9183673470220741,0.8688524592313894,volume_44
volume_44_slice_93,1.0,1.0,0.7257731961589967,0.5695792887223636,1.0,1.0,0.9085910653863323,0.8565264295741212,volume_44
