id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean,volume_id
volume_35_slice_0,1.1914690812353782e-10,1.1914690812353782e-10,1.0,1.0,1.0,1.0,0.6666666667063823,0.6666666667063823,volume_35
volume_35_slice_1,1.1914690812353782e-10,1.1914690812353782e-10,1.0,1.0,1.0,1.0,0.6666666667063823,0.6666666667063823,volume_35
volume_35_slice_2,1.1914690812353782e-10,1.1914690812353782e-10,1.0,1.0,1.0,1.0,0.6666666667063823,0.6666666667063823,volume_35
volume_35_slice_3,1.1914690812353782e-10,1.1914690812353782e-10,1.0,1.0,1.0,1.0,0.6666666667063823,0.6666666667063823,volume_35
volume_35_slice_4,1.1914690812353782e-10,1.1914690812353782e-10,1.0,1.0,1.0,1.0,0.6666666667063823,0.6666666667063823,volume_35
volume_35_slice_5,1.1914690812353782e-10,1.1914690812353782e-10,1.0,1.0,1.0,1.0,0.6666666667063823,0.6666666667063823,volume_35
volume_35_slice_6,1.1914690812353782e-10,1.1914690812353782e-10,1.0,1.0,1.0,1.0,0.6666666667063823,0.6666666667063823,volume_35
volume_35_slice_7,1.1914690812353782e-10,1.1914690812353782e-10,1.0,1.0,1.0,1.0,0.6666666667063823,0.6666666667063823,volume_35
volume_35_slice_8,1.149821777492259e-10,1.149821777492259e-10,9.090908264462886e-08,9.090908264462886e-08,4.761904535147403e-08,4.761904535147403e-08,4.6214370057950704e-08,4.6214370057950704e-08,volume_35
volume_35_slice_9,1.118818527509642e-10,1.118818527509642e-10,2.0833332899305566e-08,2.0833332899305566e-08,1.6393442354205864e-08,1.6393442354205864e-08,1.2446219035420798e-08,1.2446219035420798e-08,volume_35
volume_35_slice_10,9.859016069224192e-11,9.859016069224192e-11,4.694835658709691e-09,4.694835658709691e-09,3.53356889210753e-09,3.53356889210753e-09,2.7756649038364875e-09,2.7756649038364875e-09,volume_35
