id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean,volume_id
volume_327_slice_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_1,1.0,1.0,1.724137901307967e-08,1.724137901307967e-08,1.0,1.0,0.666666672413793,0.666666672413793,volume_327
volume_327_slice_2,1.0,1.0,1.2195121802498514e-08,1.2195121802498514e-08,1.0,1.0,0.6666666707317073,0.6666666707317073,volume_327
volume_327_slice_3,1.0,1.0,3.906249984741211e-09,3.906249984741211e-09,1.0,1.0,0.66666666796875,0.66666666796875,volume_327
volume_327_slice_4,3.999999840000006e-08,3.999999840000006e-08,2.1459227421761312e-09,2.1459227421761312e-09,1.0,1.0,0.33333334738197373,0.33333334738197373,volume_327
volume_327_slice_5,3.4482757431629055e-08,3.4482757431629055e-08,2.1691973922577064e-09,2.1691973922577064e-09,1.0,1.0,0.3333333455506516,0.3333333455506516,volume_327
volume_327_slice_6,1.0,1.0,8.547008473957193e-09,8.547008473957193e-09,1.0,1.0,0.6666666695156694,0.6666666695156694,volume_327
volume_327_slice_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_22,1.0,1.0,8.547008473957193e-09,8.547008473957193e-09,1.0,1.0,0.6666666695156694,0.6666666695156694,volume_327
volume_327_slice_23,1.0,1.0,4.132231387883341e-09,4.132231387883341e-09,1.0,1.0,0.6666666680440771,0.6666666680440771,volume_327
volume_327_slice_24,1.0,1.0,6.2499999609375e-09,6.2499999609375e-09,1.0,1.0,0.6666666687499999,0.6666666687499999,volume_327
volume_327_slice_25,1.0,1.0,6.80272104215836e-09,6.80272104215836e-09,1.0,1.0,0.6666666689342403,0.6666666689342403,volume_327
volume_327_slice_26,1.0,1.0,5.5248618479289396e-09,5.5248618479289396e-09,1.0,1.0,0.6666666685082873,0.6666666685082873,volume_327
volume_327_slice_27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_31,1.0,1.0,1.99999960000008e-07,1.99999960000008e-07,1.0,1.0,0.6666667333333199,0.6666667333333199,volume_327
volume_327_slice_32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_35,1.0,1.0,2.8571427755102065e-08,2.8571427755102065e-08,1.0,1.0,0.6666666761904759,0.6666666761904759,volume_327
volume_327_slice_36,1.0,1.0,1.149425274144537e-08,1.149425274144537e-08,1.0,1.0,0.6666666704980843,0.6666666704980843,volume_327
volume_327_slice_37,1.0,1.0,1.2345678859929891e-08,1.2345678859929891e-08,1.0,1.0,0.666666670781893,0.666666670781893,volume_327
volume_327_slice_38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_45,1.0,1.0,4.761904535147403e-08,4.761904535147403e-08,1.0,1.0,0.6666666825396819,0.6666666825396819,volume_327
volume_327_slice_46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_50,1.0,1.0,5.882352595155729e-08,5.882352595155729e-08,1.0,1.0,0.6666666862745086,0.6666666862745086,volume_327
volume_327_slice_51,1.0,1.0,3.124999902343753e-08,3.124999902343753e-08,1.0,1.0,0.666666677083333,0.666666677083333,volume_327
