id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean,volume_id
volume_327_slice_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_1,1.666666388888935e-07,1.666666388888935e-07,1.7857142538265312e-08,1.7857142538265312e-08,1.0,1.0,0.33333339484126046,0.33333339484126046,volume_327
volume_327_slice_2,8.333332638888946e-08,8.333332638888946e-08,2.9411763840830475e-08,2.9411763840830475e-08,1.0,1.0,0.33333337091503007,0.33333337091503007,volume_327
volume_327_slice_3,5.555555246913597e-08,5.555555246913597e-08,7.092198531261003e-09,7.092198531261003e-09,1.0,1.0,0.333333354215917,0.333333354215917,volume_327
volume_327_slice_4,3.787878773530762e-09,3.787878773530762e-09,1.8416206227594464e-09,1.8416206227594464e-09,1.8518518175582995e-08,1.8518518175582995e-08,8.049339190624401e-09,8.049339190624401e-09,volume_327
volume_327_slice_5,1.1363636234504133e-08,1.1363636234504133e-08,2.570694080795131e-09,2.570694080795131e-09,1.5873015621063245e-08,1.5873015621063245e-08,9.935781978787503e-09,9.935781978787503e-09,volume_327
volume_327_slice_6,3.8314176098413115e-09,3.8314176098413115e-09,3.333333322222222e-09,3.333333322222222e-09,3.3333322222225924e-07,3.3333322222225924e-07,1.1349932438477427e-07,1.1349932438477427e-07,volume_327
volume_327_slice_7,4.255319130828429e-09,4.255319130828429e-09,9.708737769818079e-09,9.708737769818079e-09,3.3333322222225924e-07,3.3333322222225924e-07,1.1576575970763526e-07,1.1576575970763526e-07,volume_327
volume_327_slice_8,5.208333306206597e-09,5.208333306206597e-09,9.708737769818079e-09,9.708737769818079e-09,1.0,1.0,0.3333333383056904,0.3333333383056904,volume_327
volume_327_slice_9,1.2820512656147274e-08,1.2820512656147274e-08,1.6949152255099113e-08,1.6949152255099113e-08,1.0,1.0,0.333333343256555,0.333333343256555,volume_327
volume_327_slice_10,1.0,1.0,9.99999000001e-07,9.99999000001e-07,1.0,1.0,0.6666669999996667,0.6666669999996667,volume_327
volume_327_slice_11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_327
volume_327_slice_12,1.0,1.0,1.428571224489825e-07,1.428571224489825e-07,1.0,1.0,0.6666667142857076,0.6666667142857076,volume_327
volume_327_slice_13,1.0,1.0,7.142856632653097e-08,7.142856632653097e-08,1.0,1.0,0.6666666904761888,0.6666666904761888,volume_327
volume_327_slice_14,1.0,1.0,6.666666222222252e-08,6.666666222222252e-08,1.0,1.0,0.6666666888888875,0.6666666888888875,volume_327
volume_327_slice_15,1.0,1.0,1.8518518175582995e-08,1.8518518175582995e-08,1.0,1.0,0.6666666728395061,0.6666666728395061,volume_327
volume_327_slice_16,9.99999000001e-07,9.99999000001e-07,8.547008473957193e-09,8.547008473957193e-09,8.26446274161601e-09,8.26446274161601e-09,3.389368237388577e-07,3.389368237388577e-07,volume_327
volume_327_slice_17,1.428571224489825e-07,1.428571224489825e-07,1.0526315678670361e-08,1.0526315678670361e-08,7.092198531261003e-09,7.092198531261003e-09,5.349187888630462e-08,5.349187888630462e-08,volume_327
volume_327_slice_18,1.6666666388888892e-08,1.6666666388888892e-08,4.761904535147403e-08,4.761904535147403e-08,5.291005263010554e-09,5.291005263010554e-09,2.3192239001124493e-08,2.3192239001124493e-08,volume_327
volume_327_slice_19,1.923076886094675e-08,1.923076886094675e-08,1.99999960000008e-07,1.99999960000008e-07,9.803921472510574e-09,9.803921472510574e-09,7.634488344448845e-08,7.634488344448845e-08,volume_327
volume_327_slice_20,2.2727272210743815e-08,2.2727272210743815e-08,8.333332638888946e-08,8.333332638888946e-08,1.1111109876543348e-07,1.1111109876543348e-07,7.239056578835559e-08,7.239056578835559e-08,volume_327
volume_327_slice_21,1.0,1.0,9.9999990000001e-08,9.9999990000001e-08,1.0,1.0,0.6666666999999967,0.6666666999999967,volume_327
volume_327_slice_22,1.0,1.0,9.523809433106576e-09,9.523809433106576e-09,1.0,1.0,0.6666666698412698,0.6666666698412698,volume_327
volume_327_slice_23,1.5873015621063245e-08,1.5873015621063245e-08,3.0487804785098155e-09,3.0487804785098155e-09,1.0,1.0,0.3333333396405987,0.3333333396405987,volume_327
volume_327_slice_24,3.846153698224858e-08,3.846153698224858e-08,2.3474178348652164e-09,2.3474178348652164e-09,1.0,1.0,0.3333333469363183,0.3333333469363183,volume_327
volume_327_slice_25,1.4925372911561597e-08,1.4925372911561597e-08,2.1008403317209236e-09,2.1008403317209236e-09,9.99999000001e-07,9.99999000001e-07,3.390084044147609e-07,3.390084044147609e-07,volume_327
volume_327_slice_26,1.3513513330898468e-08,1.3513513330898468e-08,1.828153561557306e-09,1.828153561557306e-09,1.0,1.0,0.3333333384472223,0.3333333384472223,volume_327
volume_327_slice_27,5.263157867036011e-09,5.263157867036011e-09,1.5360983079322607e-09,1.5360983079322607e-09,1.0,1.0,0.3333333355997521,0.3333333355997521,volume_327
volume_327_slice_28,1.8975332032304872e-09,1.8975332032304872e-09,1.8621973894558707e-09,1.8621973894558707e-09,1.0,1.0,0.3333333345865768,0.3333333345865768,volume_327
volume_327_slice_29,2.0491803236697123e-09,2.0491803236697123e-09,1.9342359730478993e-09,1.9342359730478993e-09,4.999999750000012e-08,4.999999750000012e-08,1.7994471265572576e-08,1.7994471265572576e-08,volume_327
volume_327_slice_30,2.6178010402675366e-09,2.6178010402675366e-09,2.7932960815829716e-09,2.7932960815829716e-09,1.9607842752787398e-08,1.9607842752787398e-08,8.339646624879302e-09,8.339646624879302e-09,volume_327
volume_327_slice_31,4.807692284578402e-09,4.807692284578402e-09,5.586592147560938e-09,5.586592147560938e-09,1.923076886094675e-08,1.923076886094675e-08,9.87501776436203e-09,9.87501776436203e-09,volume_327
volume_327_slice_32,4.878048756692445e-09,4.878048756692445e-09,2.3809523752834467e-09,2.3809523752834467e-09,1.1111109876543348e-07,1.1111109876543348e-07,3.945669996580312e-08,3.945669996580312e-08,volume_327
volume_327_slice_33,2.95857987290361e-09,2.95857987290361e-09,1.0319917430010404e-09,1.0319917430010404e-09,1.666666388888935e-07,1.666666388888935e-07,5.6885736834932723e-08,5.6885736834932723e-08,volume_327
volume_327_slice_34,1.237623760844525e-09,1.237623760844525e-09,5.285412259362889e-10,5.285412259362889e-10,4.761904535147403e-08,4.761904535147403e-08,1.646173677941828e-08,1.646173677941828e-08,volume_327
volume_327_slice_35,1.2578616336379098e-09,1.2578616336379098e-09,4.440497333729797e-10,4.440497333729797e-10,1.6393442354205864e-08,1.6393442354205864e-08,6.031784573738917e-09,6.031784573738917e-09,volume_327
volume_327_slice_36,1.8975332032304872e-09,1.8975332032304872e-09,5.408328823467642e-10,5.408328823467642e-10,1.8181817851239675e-08,1.8181817851239675e-08,6.8733946456056425e-09,6.8733946456056425e-09,volume_327
volume_327_slice_37,7.874015686031373e-09,7.874015686031373e-09,7.46825988986687e-10,7.46825988986687e-10,3.3333322222225924e-07,3.3333322222225924e-07,1.139846879657591e-07,1.139846879657591e-07,volume_327
volume_327_slice_38,3.01204818369865e-09,3.01204818369865e-09,1.10619468904182e-09,1.10619468904182e-09,1.0,1.0,0.33333333470608095,0.33333333470608095,volume_327
volume_327_slice_39,2.7777777700617284e-09,2.7777777700617284e-09,1.992031868541769e-09,1.992031868541769e-09,1.0,1.0,0.3333333349232699,0.3333333349232699,volume_327
volume_327_slice_40,3.759398482107525e-09,3.759398482107525e-09,1.5600624000623051e-09,1.5600624000623051e-09,1.0,1.0,0.33333333510648694,0.33333333510648694,volume_327
volume_327_slice_41,2.564102557527942e-09,2.564102557527942e-09,9.469696960729451e-10,9.469696960729451e-10,9.99999000001e-07,9.99999000001e-07,3.3450335741820027e-07,3.3450335741820027e-07,volume_327
volume_327_slice_42,2.386634839172709e-09,2.386634839172709e-09,7.336757147955423e-10,7.336757147955423e-10,1.0,1.0,0.3333333343734368,0.3333333343734368,volume_327
volume_327_slice_43,2.801120440332996e-09,2.801120440332996e-09,8.354218873555371e-10,8.354218873555371e-10,1.666666388888935e-07,1.666666388888935e-07,5.676772707219401e-08,5.676772707219401e-08,volume_327
volume_327_slice_44,2.331002325568759e-09,2.331002325568759e-09,1.0224948864800666e-09,1.0224948864800666e-09,1.2499998437500196e-07,1.2499998437500196e-07,4.278449386235026e-08,4.278449386235026e-08,volume_327
volume_327_slice_45,5.555555524691358e-09,5.555555524691358e-09,1.3386880838839517e-09,1.3386880838839517e-09,1.0,1.0,0.33333333563141454,0.33333333563141454,volume_327
volume_327_slice_46,3.344481594165613e-09,3.344481594165613e-09,1.9267822698905928e-09,1.9267822698905928e-09,4.999999750000012e-08,4.999999750000012e-08,1.8423753788018776e-08,1.8423753788018776e-08,volume_327
volume_327_slice_47,3.636363623140496e-09,3.636363623140496e-09,3.5460992782053217e-09,3.5460992782053217e-09,3.3333322222225924e-07,3.3333322222225924e-07,1.1350522837453502e-07,1.1350522837453502e-07,volume_327
volume_327_slice_48,3.0487804785098155e-09,3.0487804785098155e-09,2.9239765996374954e-09,2.9239765996374954e-09,2.499999375000156e-07,2.499999375000156e-07,8.532423152605429e-08,8.532423152605429e-08,volume_327
volume_327_slice_49,2.386634839172709e-09,2.386634839172709e-09,3.571428558673469e-09,3.571428558673469e-09,1.0,1.0,0.33333333531935444,0.33333333531935444,volume_327
volume_327_slice_50,2.0040080120160158e-09,2.0040080120160158e-09,2.95857987290361e-09,2.95857987290361e-09,1.0,1.0,0.3333333349875293,0.3333333349875293,volume_327
volume_327_slice_51,1.7301038032351144e-09,1.7301038032351144e-09,2.450980386149558e-09,2.450980386149558e-09,1.0,1.0,0.33333333472702803,0.33333333472702803,volume_327
volume_327_slice_52,2.242152461340465e-09,2.242152461340465e-09,2.724795632902464e-09,2.724795632902464e-09,1.0,1.0,0.3333333349889827,0.3333333349889827,volume_327
volume_327_slice_53,1.742160275710522e-09,1.742160275710522e-09,1.5128593017959767e-09,1.5128593017959767e-09,1.0,1.0,0.33333333441833984,0.33333333441833984,volume_327
volume_327_slice_54,1.7301038032351144e-09,1.7301038032351144e-09,1.340482571929648e-09,1.340482571929648e-09,1.0,1.0,0.33333333435686213,0.33333333435686213,volume_327
volume_327_slice_55,2.0120724305592104e-09,2.0120724305592104e-09,8.18330604894983e-10,8.18330604894983e-10,1.0,1.0,0.333333334276801,0.333333334276801,volume_327
volume_327_slice_56,1.0121457479634151e-09,1.0121457479634151e-09,7.19424459914083e-10,7.19424459914083e-10,1.0,1.0,0.3333333339105234,0.3333333339105234,volume_327
volume_327_slice_57,1.1325028299745154e-09,1.1325028299745154e-09,6.138735416734968e-10,6.138735416734968e-10,1.0,1.0,0.3333333339154588,0.3333333339154588,volume_327
volume_327_slice_58,1.7271157137700937e-09,1.7271157137700937e-09,4.0453074417292445e-10,4.0453074417292445e-10,1.0,1.0,0.33333333404388216,0.33333333404388216,volume_327
volume_327_slice_59,1.607717039215889e-09,1.607717039215889e-09,0.06133979053214698,0.031640300153355415,1.0,1.0,0.353779930713288,0.3438801005870242,volume_327
volume_327_slice_60,1.7953321332220248e-09,1.7953321332220248e-09,0.3419131773561609,0.20620945356524123,7.692307100591761e-08,7.692307100591761e-08,0.11397108535818802,0.06873651076121479,volume_327
volume_327_slice_61,0.36225266459322275,0.2211895925256699,0.36232407096271235,0.2212428385979538,4.5454543388429843e-08,4.5454543388429843e-08,0.2415255936701595,0.14747749219272235,volume_327
volume_327_slice_62,0.4587155970396912,0.29761904881357304,0.35328297520241636,0.21453775609931625,1.0,1.0,0.6039995240807025,0.5040522683042964,volume_327
volume_327_slice_63,0.45617529934643897,0.295483871876795,0.34085051567627245,0.2054368935124517,8.333332638888946e-08,8.333332638888946e-08,0.26567529945201257,0.1669736162408577,volume_327
volume_327_slice_64,0.5103969757338392,0.3426395944647719,0.35415019788373514,0.2151777141137475,0.04081633305567121,0.020833340133101806,0.3017878355577485,0.1928835495705404,volume_327
volume_327_slice_65,0.5717026380951067,0.40026863707167987,0.39065606392114505,0.2427424340687199,0.515570935094168,0.34731934884074744,0.49264321237013986,0.33011013999371575,volume_327
volume_327_slice_66,0.5334590011623662,0.3637532137765082,0.4349904400406356,0.2779474653158537,0.649101796827423,0.4804964548218148,0.5391837460101416,0.3740657113047255,volume_327
