id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean,volume_id
volume_44_slice_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_41,1.0,1.0,2.2727272210743815e-08,2.2727272210743815e-08,1.0,1.0,0.6666666742424242,0.6666666742424242,volume_44
volume_44_slice_42,1.0,1.0,3.4482757431629055e-08,3.4482757431629055e-08,1.0,1.0,0.6666666781609192,0.6666666781609192,volume_44
volume_44_slice_43,1.0,1.0,4.166666493055563e-08,4.166666493055563e-08,1.0,1.0,0.6666666805555549,0.6666666805555549,volume_44
volume_44_slice_44,1.0,1.0,4.761904535147403e-08,4.761904535147403e-08,1.0,1.0,0.6666666825396819,0.6666666825396819,volume_44
volume_44_slice_45,1.0,1.0,5.263157617728546e-08,5.263157617728546e-08,1.0,1.0,0.6666666842105254,0.6666666842105254,volume_44
volume_44_slice_46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_47,1.0,1.0,1.0,1.0,4.99999750000125e-07,4.99999750000125e-07,0.66666683333325,0.66666683333325,volume_44
volume_44_slice_48,1.0,1.0,6.249999609375024e-08,6.249999609375024e-08,4.99999750000125e-07,4.99999750000125e-07,0.3333335208332487,0.3333335208332487,volume_44
volume_44_slice_49,1.0,1.0,1.2499998437500196e-07,1.2499998437500196e-07,1.0,1.0,0.6666667083333282,0.6666667083333282,volume_44
volume_44_slice_50,1.0,1.0,1.99999960000008e-07,1.99999960000008e-07,1.0,1.0,0.6666667333333199,0.6666667333333199,volume_44
volume_44_slice_51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_52,1.0,1.0,1.666666388888935e-07,1.666666388888935e-07,1.0,1.0,0.6666667222222129,0.6666667222222129,volume_44
volume_44_slice_53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_54,1.0,1.0,9.9999990000001e-08,9.9999990000001e-08,1.666666388888935e-07,1.666666388888935e-07,0.3333334222222097,0.3333334222222097,volume_44
volume_44_slice_55,1.0,1.0,1.0,1.0,2.7777777006172862e-08,2.7777777006172862e-08,0.6666666759259257,0.6666666759259257,volume_44
volume_44_slice_56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_57,1.0,1.0,5.555555246913597e-08,5.555555246913597e-08,1.0,1.0,0.666666685185184,0.666666685185184,volume_44
volume_44_slice_58,1.0,1.0,9.090909008264463e-09,9.090909008264463e-09,1.99999960000008e-07,1.99999960000008e-07,0.33333340303028963,0.33333340303028963,volume_44
volume_44_slice_59,1.0,1.0,9.090909008264463e-09,9.090909008264463e-09,1.0,1.0,0.6666666696969696,0.6666666696969696,volume_44
volume_44_slice_60,1.0,1.0,1.0,1.0,4.999999750000012e-08,4.999999750000012e-08,0.6666666833333325,0.6666666833333325,volume_44
volume_44_slice_61,1.0,1.0,2.5641024983563464e-08,2.5641024983563464e-08,1.0,1.0,0.6666666752136751,0.6666666752136751,volume_44
volume_44_slice_62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_70,1.0,1.0,3.0303029384756685e-08,3.0303029384756685e-08,1.0,1.0,0.6666666767676764,0.6666666767676764,volume_44
volume_44_slice_71,1.0,1.0,1.6393442354205864e-08,1.6393442354205864e-08,1.0,1.0,0.6666666721311474,0.6666666721311474,volume_44
volume_44_slice_72,1.0,1.0,1.3698629949333836e-08,1.3698629949333836e-08,1.0,1.0,0.6666666712328766,0.6666666712328766,volume_44
volume_44_slice_73,1.0,1.0,1.149425274144537e-08,1.149425274144537e-08,1.0,1.0,0.6666666704980843,0.6666666704980843,volume_44
volume_44_slice_74,1.0,1.0,0.04081633305567121,0.020833340133101806,1.0,1.0,0.6802721110185571,0.6736111133777006,volume_44
volume_44_slice_75,1.0,1.0,0.03827751656326547,0.019512199904818537,1.0,1.0,0.6794258388544218,0.6731707333016063,volume_44
volume_44_slice_76,1.0,1.0,0.3384615404970414,0.20370370665294923,1.0,1.0,0.7794871801656805,0.7345679022176498,volume_44
volume_44_slice_77,1.0,1.0,0.40845070561396546,0.25663717033440364,1.0,1.0,0.8028169018713219,0.752212390111468,volume_44
volume_44_slice_78,1.0,1.0,0.39183673593502705,0.24365482425468318,1.0,1.0,0.7972789119783424,0.7478849414182278,volume_44
volume_44_slice_79,1.0,1.0,0.41025641133652674,0.258064517838561,1.0,1.0,0.8034188037788423,0.7526881726128537,volume_44
volume_44_slice_80,1.0,1.0,0.4407345585296585,0.2826552477887468,1.0,1.0,0.8135781861765529,0.760885082596249,volume_44
volume_44_slice_81,1.0,1.0,0.39739413778926036,0.24796748120331813,1.0,1.0,0.7991313792630867,0.7493224937344394,volume_44
volume_44_slice_82,1.0,1.0,0.34658187703246124,0.20961538613535502,1.0,1.0,0.7821939590108204,0.7365384620451184,volume_44
volume_44_slice_83,1.0,1.0,0.36923077020118344,0.2264150957992168,1.0,1.0,0.7897435900670612,0.7421383652664056,volume_44
volume_44_slice_84,1.0,1.0,0.30313014941823696,0.1786407782939014,1.0,1.0,0.767710049806079,0.7262135927646338,volume_44
volume_44_slice_85,1.0,1.0,0.24860853571686728,0.14194915436027722,1.0,1.0,0.749536178572289,0.7139830514534258,volume_44
volume_44_slice_86,1.0,1.0,0.20576131850666396,0.11467890111312178,1.0,1.0,0.7352537728355547,0.7048929670377072,volume_44
volume_44_slice_87,1.0,1.0,0.2698072820775005,0.15594059614866188,1.0,1.0,0.7566024273591668,0.7186468653828874,volume_44
volume_44_slice_88,1.0,1.0,0.5532503463993771,0.3824091790011297,1.0,1.0,0.8510834487997924,0.7941363930003765,volume_44
volume_44_slice_89,1.0,1.0,0.6472727277002754,0.4784946245905114,1.0,1.0,0.8824242425667584,0.8261648748635038,volume_44
volume_44_slice_90,1.0,1.0,0.6840390882909456,0.5198019809904257,1.0,1.0,0.8946796960969818,0.8399339936634753,volume_44
volume_44_slice_91,1.0,1.0,0.7605083091295128,0.6135646693792355,1.0,1.0,0.9201694363765043,0.8711882231264118,volume_44
volume_44_slice_92,1.0,1.0,0.7693798451847094,0.625196850983942,1.0,1.0,0.9231266150615699,0.8750656169946472,volume_44
