id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean,volume_id
volume_44_slice_0,1.0,1.0,3.225806347554634e-08,3.225806347554634e-08,1.0,1.0,0.6666666774193546,0.6666666774193546,volume_44
volume_44_slice_1,1.0,1.0,1.8867924172303316e-08,1.8867924172303316e-08,1.0,1.0,0.6666666729559747,0.6666666729559747,volume_44
volume_44_slice_2,1.0,1.0,1.2499998437500196e-07,1.2499998437500196e-07,1.0,1.0,0.6666667083333282,0.6666667083333282,volume_44
volume_44_slice_3,4.761904535147403e-08,4.761904535147403e-08,3.124999902343753e-08,3.124999902343753e-08,3.225806347554634e-08,3.225806347554634e-08,3.704236928348597e-08,3.704236928348597e-08,volume_44
volume_44_slice_4,9.99999000001e-07,9.99999000001e-07,2.5641024983563464e-08,2.5641024983563464e-08,1.0,1.0,0.3333336752133416,0.3333336752133416,volume_44
volume_44_slice_5,4.99999750000125e-07,4.99999750000125e-07,2.3255813412655503e-08,2.3255813412655503e-08,1.666666388888935e-07,1.666666388888935e-07,2.2997406743389133e-07,2.2997406743389133e-07,volume_44
volume_44_slice_6,1.0,1.0,5.882352595155729e-08,5.882352595155729e-08,9.9999990000001e-08,9.9999990000001e-08,0.33333338627450537,0.33333338627450537,volume_44
volume_44_slice_7,1.0,1.0,1.0,1.0,4.99999750000125e-07,4.99999750000125e-07,0.66666683333325,0.66666683333325,volume_44
volume_44_slice_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_14,9.99999000001e-07,9.99999000001e-07,1.2499998437500196e-07,1.2499998437500196e-07,1.0,1.0,0.3333337083329948,0.3333337083329948,volume_44
volume_44_slice_15,1.0,1.0,3.3333322222225924e-07,3.3333322222225924e-07,1.0,1.0,0.6666667777777407,0.6666667777777407,volume_44
volume_44_slice_16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_18,1.0,1.0,4.99999750000125e-07,4.99999750000125e-07,1.0,1.0,0.66666683333325,0.66666683333325,volume_44
volume_44_slice_19,1.0,1.0,1.99999960000008e-07,1.99999960000008e-07,1.0,1.0,0.6666667333333199,0.6666667333333199,volume_44
volume_44_slice_20,9.99999000001e-07,9.99999000001e-07,9.090908264462886e-08,9.090908264462886e-08,3.3333322222225924e-07,3.3333322222225924e-07,4.7474710162262936e-07,4.7474710162262936e-07,volume_44
volume_44_slice_21,1.0,1.0,3.571428443877555e-08,3.571428443877555e-08,1.0,1.0,0.6666666785714281,0.6666666785714281,volume_44
volume_44_slice_22,1.0,1.0,1.8518518175582995e-08,1.8518518175582995e-08,1.0,1.0,0.6666666728395061,0.6666666728395061,volume_44
volume_44_slice_23,1.0,1.0,1.2499998437500196e-07,1.2499998437500196e-07,1.0,1.0,0.6666667083333282,0.6666667083333282,volume_44
volume_44_slice_24,1.0,1.0,4.5454543388429843e-08,4.5454543388429843e-08,1.0,1.0,0.6666666818181811,0.6666666818181811,volume_44
volume_44_slice_25,1.0,1.0,4.99999750000125e-07,4.99999750000125e-07,1.0,1.0,0.66666683333325,0.66666683333325,volume_44
volume_44_slice_26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_27,1.0,1.0,4.99999750000125e-07,4.99999750000125e-07,1.0,1.0,0.66666683333325,0.66666683333325,volume_44
volume_44_slice_28,1.0,1.0,1.428571224489825e-07,1.428571224489825e-07,1.0,1.0,0.6666667142857076,0.6666667142857076,volume_44
volume_44_slice_29,1.0,1.0,9.9999990000001e-08,9.9999990000001e-08,1.0,1.0,0.6666666999999967,0.6666666999999967,volume_44
volume_44_slice_30,1.0,1.0,2.499999375000156e-07,2.499999375000156e-07,1.0,1.0,0.6666667499999791,0.6666667499999791,volume_44
volume_44_slice_31,1.0,1.0,3.3333322222225924e-07,3.3333322222225924e-07,1.0,1.0,0.6666667777777407,0.6666667777777407,volume_44
volume_44_slice_32,1.0,1.0,5.882352595155729e-08,5.882352595155729e-08,1.0,1.0,0.6666666862745086,0.6666666862745086,volume_44
volume_44_slice_33,1.0,1.0,7.692307100591761e-08,7.692307100591761e-08,1.0,1.0,0.6666666923076904,0.6666666923076904,volume_44
volume_44_slice_34,1.0,1.0,7.692307100591761e-08,7.692307100591761e-08,1.0,1.0,0.6666666923076904,0.6666666923076904,volume_44
volume_44_slice_35,1.0,1.0,4.99999750000125e-07,4.99999750000125e-07,1.0,1.0,0.66666683333325,0.66666683333325,volume_44
volume_44_slice_36,1.0,1.0,6.666666222222252e-08,6.666666222222252e-08,1.0,1.0,0.6666666888888875,0.6666666888888875,volume_44
volume_44_slice_37,1.0,1.0,1.3157894563711913e-08,1.3157894563711913e-08,7.142856632653097e-08,7.142856632653097e-08,0.3333333615288203,0.3333333615288203,volume_44
volume_44_slice_38,1.0,1.0,1.8181817851239675e-08,1.8181817851239675e-08,1.1111109876543348e-07,1.1111109876543348e-07,0.3333333764309722,0.3333333764309722,volume_44
volume_44_slice_39,1.0,1.0,5.181347123412709e-09,5.181347123412709e-09,1.0,1.0,0.6666666683937823,0.6666666683937823,volume_44
volume_44_slice_40,1.0,1.0,1.1627906841535966e-08,1.1627906841535966e-08,4.999999750000012e-08,4.999999750000012e-08,0.33333335387596813,0.33333335387596813,volume_44
volume_44_slice_41,1.0,1.0,1.1904761763038551e-08,1.1904761763038551e-08,1.0,1.0,0.6666666706349206,0.6666666706349206,volume_44
volume_44_slice_42,1.0,1.0,1.204819262592539e-08,1.204819262592539e-08,4.99999750000125e-07,4.99999750000125e-07,0.3333335040159809,0.3333335040159809,volume_44
volume_44_slice_43,1.0,1.0,1.6949152255099113e-08,1.6949152255099113e-08,2.499999375000156e-07,2.499999375000156e-07,0.33333342231636326,0.33333342231636326,volume_44
volume_44_slice_44,1.0,1.0,2.3255813412655503e-08,2.3255813412655503e-08,9.99999000001e-07,9.99999000001e-07,0.33333367441827116,0.33333367441827116,volume_44
volume_44_slice_45,1.0,1.0,3.0303029384756685e-08,3.0303029384756685e-08,4.99999750000125e-07,4.99999750000125e-07,0.3333335101009265,0.3333335101009265,volume_44
volume_44_slice_46,9.99999000001e-07,9.99999000001e-07,1.666666388888935e-07,1.666666388888935e-07,1.0,1.0,0.3333337222218797,0.3333337222218797,volume_44
volume_44_slice_47,1.0,1.0,3.3333332222222255e-08,3.3333332222222255e-08,1.0,1.0,0.6666666777777775,0.6666666777777775,volume_44
volume_44_slice_48,1.0,1.0,1.428571224489825e-07,1.428571224489825e-07,1.0,1.0,0.6666667142857076,0.6666667142857076,volume_44
volume_44_slice_49,1.0,1.0,4.761904535147403e-08,4.761904535147403e-08,1.0,1.0,0.6666666825396819,0.6666666825396819,volume_44
volume_44_slice_50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_51,1.0,1.0,1.99999960000008e-07,1.99999960000008e-07,1.0,1.0,0.6666667333333199,0.6666667333333199,volume_44
volume_44_slice_52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_55,1.0,1.0,9.99999000001e-07,9.99999000001e-07,1.0,1.0,0.6666669999996667,0.6666669999996667,volume_44
volume_44_slice_56,1.0,1.0,1.1111109876543348e-07,1.1111109876543348e-07,5.555555246913597e-08,5.555555246913597e-08,0.3333333888888837,0.3333333888888837,volume_44
volume_44_slice_57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_58,1.0,1.0,2.5641024983563464e-08,2.5641024983563464e-08,1.0,1.0,0.6666666752136751,0.6666666752136751,volume_44
volume_44_slice_59,1.0,1.0,3.3333332222222255e-08,3.3333332222222255e-08,5.882352595155729e-08,5.882352595155729e-08,0.33333336405228614,0.33333336405228614,volume_44
volume_44_slice_60,1.0,1.0,4.999999750000012e-08,4.999999750000012e-08,1.0,1.0,0.6666666833333325,0.6666666833333325,volume_44
volume_44_slice_61,1.0,1.0,1.724137901307967e-08,1.724137901307967e-08,1.99999960000008e-07,1.99999960000008e-07,0.33333340574711295,0.33333340574711295,volume_44
volume_44_slice_62,1.0,1.0,4.99999750000125e-07,4.99999750000125e-07,1.0,1.0,0.66666683333325,0.66666683333325,volume_44
volume_44_slice_63,2.499999375000156e-07,2.499999375000156e-07,6.249999609375024e-08,6.249999609375024e-08,1.0,1.0,0.33333343749997785,0.33333343749997785,volume_44
volume_44_slice_64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,volume_44
volume_44_slice_65,1.0,1.0,3.999999840000006e-08,3.999999840000006e-08,1.0,1.0,0.6666666799999995,0.6666666799999995,volume_44
volume_44_slice_66,1.0,1.0,2.0833332899305566e-08,2.0833332899305566e-08,1.0,1.0,0.666666673611111,0.666666673611111,volume_44
volume_44_slice_67,9.99999000001e-07,9.99999000001e-07,1.1111109876543348e-07,1.1111109876543348e-07,1.0,1.0,0.3333337037033663,0.3333337037033663,volume_44
volume_44_slice_68,1.0,1.0,1.4705882136678204e-08,1.4705882136678204e-08,1.0,1.0,0.6666666715686272,0.6666666715686272,volume_44
volume_44_slice_69,1.0,1.0,6.249999609375024e-08,6.249999609375024e-08,1.0,1.0,0.6666666874999988,0.6666666874999988,volume_44
volume_44_slice_70,1.0,1.0,1.123595492993309e-08,1.123595492993309e-08,1.0,1.0,0.6666666704119849,0.6666666704119849,volume_44
volume_44_slice_71,1.0,1.0,8.849557443809227e-09,8.849557443809227e-09,1.0,1.0,0.6666666696165192,0.6666666696165192,volume_44
volume_44_slice_72,1.0,1.0,1.1111110987654323e-08,1.1111110987654323e-08,4.99999750000125e-07,4.99999750000125e-07,0.3333335037036203,0.3333335037036203,volume_44
volume_44_slice_73,3.3333322222225924e-07,3.3333322222225924e-07,9.523809433106576e-09,9.523809433106576e-09,5.263157617728546e-08,5.263157617728546e-08,1.3182953594421708e-07,1.3182953594421708e-07,volume_44
volume_44_slice_74,9.99999000001e-07,9.99999000001e-07,0.028368801217242546,0.014388496299363337,1.1111109876543348e-07,1.1111109876543348e-07,0.009456637442447105,0.004796535803154035,volume_44
volume_44_slice_75,1.0,1.0,0.033472807391327165,0.01702128077863285,1.0,1.0,0.6778242691304422,0.672340426926211,volume_44
volume_44_slice_76,1.0,1.0,0.3866666687111111,0.23966942462946517,1.0,1.0,0.7955555562370371,0.7465564748764884,volume_44
volume_44_slice_77,1.0,1.0,0.38363171513137667,0.23734177456537411,1.0,1.0,0.7945439050437922,0.7457805915217914,volume_44
volume_44_slice_78,1.0,1.0,0.37647058970242214,0.2318840601974375,1.0,1.0,0.7921568632341408,0.7439613533991457,volume_44
volume_44_slice_79,1.0,1.0,0.41821946290223716,0.26439790768482224,1.0,1.0,0.8060731543007457,0.7547993025616074,volume_44
volume_44_slice_80,1.0,1.0,0.3425196863336227,0.20665083323835906,1.0,1.0,0.7808398954445409,0.7355502777461197,volume_44
volume_44_slice_81,1.0,1.0,0.37132353056741996,0.22799097239731156,1.0,1.0,0.7904411768558067,0.7426636574657705,volume_44
volume_44_slice_82,1.0,1.0,0.44701986846519887,0.28784648339478364,1.0,1.0,0.8156732894883997,0.7626154944649279,volume_44
volume_44_slice_83,1.0,1.0,0.5111111118871252,0.3432835834898005,4.99999750000125e-07,4.99999750000125e-07,0.5037038706289584,0.4477613611631835,volume_44
volume_44_slice_84,1.0,1.0,0.38275862175386444,0.23667377561476807,1.0,1.0,0.7942528739179547,0.7455579252049227,volume_44
volume_44_slice_85,1.0,1.0,0.2702702716790149,0.15625000188337052,1.0,1.0,0.7567567572263383,0.7187500006277903,volume_44
volume_44_slice_86,1.0,1.0,0.20295983255188196,0.11294117855778546,1.0,1.0,0.7343199441839606,0.7043137261859286,volume_44
volume_44_slice_87,1.0,1.0,0.08888889113854594,0.04651163037077098,1.0,1.0,0.696296297046182,0.6821705434569236,volume_44
volume_44_slice_88,1.0,1.0,0.424635333185356,0.2695473266058697,1.0,1.0,0.808211777728452,0.7565157755352899,volume_44
volume_44_slice_89,1.0,1.0,0.6141522034524003,0.44315992400161863,1.0,1.0,0.8713840678174668,0.814386641333873,volume_44
volume_44_slice_90,1.0,1.0,0.6049382720926688,0.43362831958649856,1.0,1.0,0.868312757364223,0.8112094398621661,volume_44
volume_44_slice_91,1.0,1.0,0.6900584798946684,0.5267857151307398,1.0,1.0,0.8966861599648895,0.8422619050435799,volume_44
volume_44_slice_92,1.0,1.0,0.5735849061967485,0.40211640317087055,1.0,1.0,0.8578616353989162,0.8007054677236235,volume_44
volume_44_slice_93,1.0,1.0,0.5786163527313002,0.4070796470671157,1.0,1.0,0.8595387842437668,0.8023598823557053,volume_44
